cluster,day0_usage,day0_found,day15_usage,day15_found,vdjdb_yfv,vdjdb_yfv_day0,vdjdb_yfv_day15,delta,cluster_size,yfv_15_frac_in_cluster
0,0.0010549226231393659,25,0.0014389201247064108,38,13,6,10,1.363970869576623,55,0.18181818181818182
1,0.0011006232421923348,50,0.0007137500618583386,48,7,4,4,0.6485281990017288,82,0.04878048780487805
2,0.0007502518294529065,6,0.0005272233790260261,3,0,0,0,0.7027681659822247,6,0.0
3,0.001091102279889633,57,0.0011743567684442532,60,21,15,11,1.0762961094280712,107,0.102803738317757
4,0.0008645033770853288,40,0.005605317152460819,47,0,0,0,6.483223754407814,79,0.0
5,0.001009222004086397,64,0.0007841734012950281,65,0,0,0,0.7770299251574575,120,0.0
6,0.0005541200060172482,9,0.0005881300509712711,16,0,0,0,1.0613656031625904,24,0.0
7,0.000594108047688596,19,0.0006185833869438935,15,0,0,0,1.0411898481525181,29,0.0
8,0.0009501920378096455,54,0.0008336600722505396,77,4,2,3,0.8773724698065412,113,0.02654867256637168
9,0.0005236529266486022,10,0.0004282500371150032,9,0,0,0,0.8178475294752731,15,0.0
10,0.0005655451607804905,17,0.0004834467085653814,12,0,0,0,0.8548587384680748,24,0.0
11,0.0004360600734637451,5,0.0003654400316714694,4,0,0,0,0.8380868720251032,6,0.0
12,0.0007692937540583101,5,0.0005081900440431371,8,0,0,0,0.6606370812890889,10,0.0
13,0.0004170181488583414,4,0.0004853500420636703,7,0,0,0,1.1638190363865832,10,0.0
14,0.00035608399012104953,2,0.0002855000247433355,2,0,0,0,0.8018328523027495,3,0.0
15,0.0004074971865556396,14,0.0002702733567570242,14,0,0,0,0.6633346982637147,26,0.0
16,0.00034085045043672656,4,0.0001713000148460013,2,0,0,0,0.5027123871707851,4,0.0
17,0.00030847917860754023,3,0.00029882335923135775,2,0,0,0,0.968708778668236,3,0.0
18,0.00031990433337078246,7,0.0007023300608686053,15,3,0,3,2.195064215129593,21,0.14285714285714285
19,0.0002894372540021365,5,0.00026646668976044644,9,0,0,0,0.9206645641478641,13,0.0
20,0.0002589701746334906,2,0.00014084667887337884,2,0,0,0,0.544048264424022,3,0.0
21,0.001490982696603111,126,0.001119160096993875,125,0,0,0,0.7506358296181035,225,0.0
22,0.0003046707936864595,5,0.00020936668481177933,4,0,0,0,0.6872925134265765,5,0.0
23,0.0004988984246615774,48,0.0006357133884284937,61,1,0,1,1.2741791496830972,101,0.009900990099009901
24,0.00044938942068752774,39,0.0002379166872861129,31,0,0,0,0.5295267837940403,64,0.0
25,0.0002494492123307887,4,0.00015988001385626788,1,0,0,0,0.6410760120701451,4,0.0
26,0.00023992825002808684,3,0.00029692002573306883,2,0,0,0,1.2374377836705184,3,0.0
27,0.00029895821630483835,14,0.0001237166773887787,11,0,0,0,0.41402198848992305,22,0.0
28,0.0008073776032691177,91,0.0009174067461752513,115,0,0,0,1.1362627798723761,190,0.0
29,0.00019613182343565828,1,0.0001884300163306014,4,0,0,0,0.9607514878564934,4,0.0
30,0.0002075569781989005,3,0.00014465334586995663,4,0,0,0,0.6970791308120994,5,0.0
31,0.0002208863254226831,6,0.00019414001682546814,11,0,0,0,0.8789684902626577,15,0.0
32,0.0001885150535934968,2,0.00016178334735455677,4,0,0,0,0.8582737393985943,6,0.0
