cluster,day0_usage,day0_found,day15_usage,day15_found,vdjdb_yfv,vdjdb_yfv_day0,vdjdb_yfv_day15,delta,cluster_size,yfv_15_frac_in_cluster
0,0.0009482878453491051,25,0.0005824200504764044,21,2,1,1,0.6142213371175972,36,0.027777777777777776
1,0.0007502518294529065,6,0.0005272233790260261,3,0,0,0,0.7027681659822247,6,0.0
2,0.0009997010417836952,43,0.000944053415151296,35,15,13,7,0.9443412996118496,70,0.1
3,0.0008130901806507388,30,0.0004796400415688036,30,0,0,0,0.5899481486420576,52,0.0
4,0.0009844675020993722,61,0.000767043399810428,63,0,0,0,0.7791679068978657,115,0.0
5,0.0005503116210961675,8,0.000531030046022604,13,0,0,0,0.9649688081891086,20,0.0
6,0.0005065151945037389,4,0.0005538700480020709,3,0,0,0,1.093473022546667,4,0.0
7,0.0008264195278745213,46,0.0007118467283600498,65,4,2,3,0.8613791983728357,95,0.031578947368421054
8,0.0005103235794248197,7,0.00042444337011842537,8,0,0,0,0.8317471747618518,11,0.0
9,0.00045700619052968923,6,0.00026837002325873536,3,0,0,0,0.5873252841919193,7,0.0
10,0.0007692937540583101,5,0.0005024800435482704,7,0,0,0,0.6532156531000137,9,0.0
11,0.0004170181488583414,4,0.0004853500420636703,7,0,0,0,1.1638190363865832,10,0.0
12,0.00035608399012104953,2,0.0002855000247433355,2,0,0,0,0.8018328523027495,3,0.0
13,0.0003351378730551054,3,0.0001713000148460013,2,0,0,0,0.511278792231888,3,0.0
14,0.00030847917860754023,3,0.00029882335923135775,2,0,0,0,0.968708778668236,3,0.0
15,0.00031990433337078246,7,0.0007023300608686053,15,3,0,3,2.195064215129593,21,0.14285714285714285
16,0.0002894372540021365,5,0.00026646668976044644,9,0,0,0,0.9206645641478641,13,0.0
17,0.0002589701746334906,2,0.00014084667887337884,2,0,0,0,0.544048264424022,3,0.0
18,0.0012777131410225894,94,0.0009002767446906513,88,0,0,0,0.7046231689009795,160,0.0
19,0.0004379642659242855,36,0.0005386433800157596,41,0,0,0,1.2298272694739163,69,0.0
20,0.0003160959484497017,17,0.00013894334537508992,11,0,0,0,0.43973790953620645,25,0.0
21,0.0002494492123307887,4,0.00015988001385626788,1,0,0,0,0.6410760120701451,4,0.0
22,0.00023992825002808684,3,0.00029692002573306883,2,0,0,0,1.2374377836705184,3,0.0
23,0.00025325759725186944,8,9.326334141615626e-05,6,0,0,0,0.3685042107631819,13,0.0
24,0.0005217487341880618,50,0.0006338100549302048,69,0,0,0,1.2147390870201071,111,0.0
25,0.0001885150535934968,2,0.00016178334735455677,4,0,0,0,0.8582737393985943,6,0.0
26,0.0007159763651631798,88,0.0005862267174729822,85,3,0,3,0.8188047336813998,155,0.01935483870967742
27,0.00019232343851457754,3,0.00011229667639904529,4,0,0,0,0.5841111522935933,5,0.0
28,0.0005731619306226518,65,0.0007346867303395166,73,19,9,12,1.2817643926597806,116,0.10344827586206896
