cluster,day0_usage,day0_found,day15_usage,day15_found,vdjdb_yfv,vdjdb_yfv_day0,vdjdb_yfv_day15,delta,cluster_size,yfv_15_frac_in_cluster
1,0.0,0,1.5226667986311226e-05,1,0,0,0,153.26667986311224,1,0.0
2,5.712577381621115e-06,1,5.710000494866709e-06,1,0,0,0,0.9995566705464337,2,0.0
3,5.712577381621115e-06,1,3.8066669965778065e-06,1,0,0,0,0.672105804376964,2,0.0
4,9.520962302701859e-06,1,9.516667491444516e-06,1,0,0,0,0.9995535985775418,2,0.0
5,1.142515476324223e-05,1,1.9033334982889032e-05,1,0,0,0,1.6601369244872928,2,0.0
6,3.237127182918632e-05,1,5.710000494866709e-06,1,0,0,0,0.1789274077538434,2,0.0
7,7.616769842161487e-06,1,5.710000494866709e-06,1,0,0,0,0.7529057641609425,2,0.0
8,7.616769842161487e-06,1,5.710000494866709e-06,1,0,0,0,0.7529057641609425,2,0.0
9,3.8083849210807435e-06,1,9.516667491444516e-06,1,0,0,0,2.4605221045590673,2,0.0
10,3.998804167134781e-05,1,4.187333696235587e-05,1,0,0,0,1.0470288697678027,2,0.0
11,3.8083849210807435e-06,1,7.613333993155613e-06,1,0,0,0,1.9735348868920333,2,0.0
12,3.8083849210807435e-06,1,5.710000494866709e-06,1,0,0,0,1.4865476692249984,2,0.0
13,3.8083849210807435e-06,1,7.613333993155613e-06,1,0,0,0,1.9735348868920333,2,0.0
14,7.616769842161487e-06,1,7.613333993155613e-06,1,0,0,0,0.9995547555420015,2,0.0
15,5.712577381621115e-06,1,3.8066669965778065e-06,1,0,0,0,0.672105804376964,2,0.0
16,1.142515476324223e-05,1,9.516667491444516e-06,2,0,0,0,0.8344067987803035,2,0.0
17,3.8083849210807435e-06,1,2.855000247433355e-05,1,0,0,0,7.330394281229411,2,0.0
18,7.616769842161487e-06,1,5.710000494866709e-06,1,0,0,0,0.7529057641609425,2,0.0
19,5.712577381621115e-06,1,7.613333993155613e-06,1,0,0,0,1.3270075367159038,2,0.0
20,1.9041924605403718e-05,1,3.8066669965778065e-06,1,0,0,0,0.20408956137435438,2,0.0
21,9.520962302701859e-06,1,3.426000296920026e-05,1,0,0,0,3.5713686311348423,2,0.0
