cluster,day0_usage,day0_found,day15_usage,day15_found,vdjdb_yfv,vdjdb_yfv_day0,vdjdb_yfv_day15,delta,cluster_size,yfv_15_frac_in_cluster
93,0.0002627785595545713,7,0.00015988001385626785,4,0,0,0,0.6085700337347496,9,0.0
94,0.00014662281946160863,1,0.00016178334735455677,3,0,0,0,1.1033276756034192,3,0.0
95,0.00016376055160647197,6,0.00012181334389048981,2,0,0,0,0.7440066733284122,7,0.0
96,0.00047033553775347185,36,0.00027217669025531314,22,0,0,0,0.5787757692702155,50,0.0
97,0.0012929466807069124,178,0.0013152034473176322,185,13,6,10,1.0172126551522114,328,0.03048780487804878
98,0.00015043120438268937,3,0.00015988001385626785,4,0,0,0,1.062769772635029,6,0.0
99,0.0001428144345405279,1,8.565000742300064e-05,4,0,0,0,0.6000094231117259,4,0.0
100,0.00018851505359349682,4,0.00015797668035797896,7,1,1,0,0.8380915380098231,10,0.0
101,0.00028182048415997503,19,0.00022078668580151277,16,0,0,0,0.7835070461789191,29,0.0
102,0.00014662281946160863,3,0.00014465334586995666,4,0,0,0,0.9865769101297341,6,0.0
103,0.0003998804167134781,40,0.00026266002276386865,35,0,0,0,0.6569322191393538,71,0.0
104,0.0007711979465188505,84,0.0007499133983258279,89,0,0,0,0.9724042462590655,159,0.0
105,0.0007731021389793909,112,0.0008070134032744949,120,3,2,2,1.0438582132479175,213,0.009389671361502348
106,0.00025325759725186944,22,0.00011610334339562309,15,6,3,3,0.4586534789406859,32,0.09375
107,0.0021422165181079183,305,0.0018652668283231251,262,0,0,0,0.8707241962409021,516,0.0
108,0.0027382287582570545,328,0.0034697769673806707,320,1,0,1,1.2671513443803024,582,0.001718213058419244
109,0.00015233539684322974,5,0.00010658667590417857,7,3,1,2,0.6998812488014128,10,0.2
110,0.0001618563591459316,5,7.423000643326722e-05,3,0,0,0,0.45895083604770215,5,0.0
111,0.00017328151390917385,10,0.00019604335032375703,18,2,1,1,1.1312817952812835,26,0.038461538461538464
112,0.0003160959484497017,23,0.00023791668728611289,15,0,0,0,0.7527505916919582,33,0.0
113,0.00031990433337078246,26,0.00017320334834429018,19,0,0,0,0.5415656298112912,39,0.0
114,0.0005027068095826582,70,0.0002702733567570242,43,1,1,1,0.5377281126750066,101,0.009900990099009901
115,0.0005541200060172482,38,0.0004910600425585371,56,0,0,0,0.8862185363681213,83,0.0
116,0.0021231745935025143,319,0.0019965968397050596,316,15,6,11,0.9403855939383449,583,0.018867924528301886
117,0.00015995216668539123,9,0.00010468334240588968,17,0,0,0,0.6546824362075555,24,0.0
118,0.0011710783632323286,178,0.0009592800831376072,129,9,7,6,0.8191579636852404,283,0.02120141342756184
119,0.00012567670239566455,2,9.707000841273406e-05,3,0,0,0,0.7725596756946257,4,0.0
120,0.001848970879184701,231,0.001985176838715326,276,0,0,0,1.0736618379878877,454,0.0
121,0.00026658694447565206,8,0.00022649668629637948,10,0,0,0,0.8496729629637616,16,0.0
122,0.00013138927977728566,4,0.0001237166773887787,3,0,0,0,0.941648456805736,6,0.0
123,0.00012377250993512418,2,0.00011039334290075639,2,0,0,0,0.8919924441558916,3,0.0
124,0.00012758089485620492,3,0.00014275001237166774,7,0,0,0,1.1188049122975396,9,0.0
125,0.00107586874020531,172,0.0008241434047590951,121,36,19,20,0.7660477242134541,274,0.072992700729927
126,0.00015804797422485086,10,0.00043586337110815884,26,5,0,5,2.7566800855021825,34,0.14705882352941177
127,0.0003979762242529377,45,0.00034640669668858036,35,0,0,0,0.8704531332883874,70,0.0
128,0.0004798565000561737,47,0.0005424500470123374,51,0,0,0,1.1304150416732301,90,0.0
129,0.00012758089485620492,4,6.09066719452449e-05,3,0,0,0,0.47780579869800427,6,0.0
130,0.00012186831747458379,2,4.7583337457222574e-05,4,0,0,0,0.3909485548749904,5,0.0
131,0.0005046110020431985,59,0.0005805167169781154,60,0,0,0,1.1503944130950807,103,0.0
132,0.0006340960893599438,105,0.0008622100747248732,140,1,0,1,1.3596899905124789,236,0.00423728813559322
133,0.0011596532084690865,198,0.0012067134379151647,190,15,5,10,1.0405777962952991,351,0.02849002849002849
134,0.00011805993255350305,2,2.474333547775574e-05,2,0,0,0,0.2102517743610477,3,0.0
135,0.0003579881825815899,53,0.0001827200158357347,39,0,0,0,0.5105446778994988,90,0.0
136,0.0005065151945037389,63,0.00044157337160302554,52,0,0,0,0.8718123269786098,99,0.0
137,0.0031038337106808057,530,0.0033860302934559587,613,1,0,1,1.090915789149781,1072,0.0009328358208955224
138,0.00018470666867241605,8,0.00015417001336140115,7,0,0,0,0.834764321383102,11,0.0
139,0.00027229952185727315,13,0.00018843001633060143,14,0,0,0,0.692108470107315,22,0.0
140,0.00017518570636971422,7,0.00015226667986311225,5,0,0,0,0.8692476016369473,7,0.0
141,0.0007388266746896642,97,0.0005424500470123374,78,5,4,1,0.7342407110153366,163,0.006134969325153374
142,0.00020565278573836016,13,0.0001751066818425791,14,0,0,0,0.851539779711055,21,0.0
143,0.00044748522822698735,52,0.00034450336319029144,36,0,0,0,0.7699167475999232,73,0.0
144,0.0002780120992388943,28,0.00026266002276386865,36,0,0,0,0.9447989622995926,61,0.0
145,0.00022659890280430424,21,0.00020365668431691263,16,0,0,0,0.8987987228716485,31,0.0
146,0.00025516178971240984,31,0.00031976002771253576,27,0,0,0,1.253066618677654,52,0.0
147,0.00017708989883025457,19,0.00014846001286653447,21,0,0,0,0.8384225841725486,36,0.0
148,0.00011425154763242231,3,0.00014846001286653444,3,0,0,0,1.2991517468926057,5,0.0
149,0.00015423958930377011,5,0.00015988001385626788,5,0,0,0,1.036545545948009,5,0.0
150,0.0001942276309751179,17,0.00019604335032375703,21,0,0,0,1.0093435984349113,35,0.0
151,0.00042273072623996255,65,0.0012619101093655429,48,0,0,0,2.984669824229694,106,0.0
152,0.00018280247621187568,18,0.00013894334537508992,19,0,0,0,0.7602048274842437,34,0.0
153,0.0006512338215048071,93,0.0006642633909028273,100,10,4,7,1.0200044416055616,178,0.03932584269662921
154,0.00046652715283239106,68,0.0004149267026269809,61,0,0,0,0.8894182434686893,122,0.0
155,0.0019327553474484773,316,0.002146960186069883,362,3,0,3,1.11082300540709,628,0.004777070063694267
156,0.00051222777188536,63,0.001199100103922009,57,0,0,0,2.340689241789426,104,0.0
157,0.0004341558810032048,68,0.0003673433651697583,64,0,0,0,0.8461448220825514,127,0.0
158,0.0001142515476324223,4,6.852000593840052e-05,4,0,0,0,0.6000793811639202,6,0.0
159,0.00016376055160647197,8,0.0001865266828323125,11,0,0,0,1.1389360099343238,17,0.0
160,0.0001142515476324223,3,0.0001199100103922009,2,0,0,0,1.0494830448466468,3,0.0
161,0.00036560495242375136,55,0.0003616333646748916,58,8,3,5,0.9891399125920018,105,0.047619047619047616
162,0.00011234735517188192,4,0.00022459335279809056,6,0,0,0,1.9982093171923385,8,0.0
163,0.00010282639286918007,3,0.00014655667936824555,4,0,0,0,1.4248695138344825,6,0.0
164,0.00034656302781834765,38,0.00037115003216633616,28,0,0,0,1.0709247954785424,60,0.0
165,0.00013710185715890677,9,8.945667441957846e-05,5,0,0,0,0.6527366048394971,12,0.0
166,0.0003313294881340247,48,0.00035782669767831383,43,1,0,1,1.079948255942676,82,0.012195121951219513
167,0.00020946117065944088,22,0.00024362668778097962,40,0,0,0,1.1630336240918473,59,0.0
168,9.330543056647821e-05,1,3.997000346406696e-05,2,0,0,0,0.42899008356423635,3,0.0
169,9.711381548755895e-05,2,5.519667145037819e-05,2,0,0,0,0.5688149485034342,3,0.0
170,0.00011234735517188192,3,0.00015226667986311225,9,0,0,0,1.3550045675170523,11,0.0
171,0.0004703355377534718,74,0.000511996711039715,83,0,0,0,1.0885587289710144,152,0.0
172,0.0002018444008172794,15,0.00014275001237166774,10,0,0,0,0.7073729788671851,23,0.0
173,0.0001009222004086397,3,8.374667392471174e-05,1,0,0,0,0.8299826531747267,3,0.0
174,0.00041130557147672027,68,0.0008793400762094734,79,10,4,7,2.137647463190073,138,0.050724637681159424
175,0.0007235931350053412,114,0.0014503401256961443,137,8,6,4,2.004219821271953,235,0.01702127659574468
176,0.00010282639286918007,3,6.0906671945244904e-05,3,0,0,0,0.5927213637301433,5,0.0
177,0.00011425154763242231,7,2.6646668976044647e-05,3,0,0,0,0.23389861816318008,9,0.0
178,0.00046843134529293146,59,0.0003216633612108246,49,0,0,0,0.6867488471014768,99,0.0
179,0.00011805993255350305,4,0.00012942667788364543,6,0,0,0,1.0961979673185367,8,0.0
180,0.0003370420655156458,35,0.00039018336714922514,40,0,0,0,1.1576228749512516,66,0.0
181,9.520962302701858e-05,2,4.5680003958933675e-05,3,0,0,0,0.48032929419892745,4,0.0
182,9.520962302701858e-05,2,5.71000049486671e-05,4,0,0,0,0.6001493147491719,5,0.0
183,0.00010853897025080118,6,0.00010658667590417857,3,0,0,0,0.9820295208789664,9,0.0
184,0.00025135340479132904,27,0.00027788669075017985,26,0,0,0,1.1055196925286006,50,0.0
185,0.00046843134529293146,53,0.0004510900390944701,69,0,0,0,0.9629879486769036,112,0.0
186,0.00017899409129079494,14,0.0001161033433956231,15,7,3,5,0.6488396270256835,24,0.20833333333333334
187,8.568866072431673e-05,1,8.374667392471175e-05,2,0,0,0,0.9773631295417283,3,0.0
188,0.00012758089485620492,4,0.00015797668035797896,3,0,0,0,1.2380605613393139,5,0.0
189,0.00010663477779026082,4,0.00020175335081862374,8,0,0,0,1.8911675744083682,10,0.0
190,0.00013710185715890677,11,7.613333993155613e-05,10,0,0,0,0.5556290673475571,19,0.0
191,0.00020565278573836013,18,0.0002474333547775574,35,0,0,0,1.2030619847467163,46,0.0
192,0.0007312099048475027,106,0.000826046738257384,122,0,0,0,1.1296807725168954,207,0.0
193,0.00012758089485620492,10,8.755334092128954e-05,4,0,0,0,0.6865031845211088,12,0.0
194,0.00011044316271134157,7,0.00015226667986311225,11,0,0,0,1.3783455812729308,17,0.0
195,0.00018661086113295642,17,0.0001808166823374458,24,0,0,0,0.968967103679177,37,0.0
196,0.00013329347223782603,3,0.00014846001286653444,2,0,0,0,1.1136977722693064,3,0.0
197,8.949704564539747e-05,3,5.9003338446956e-05,2,0,0,0,0.6596572244231369,4,0.0
198,0.00026468275201511167,29,0.0003502133636851582,41,0,0,0,1.3230218396746822,61,0.0
199,0.0007826231012820928,136,0.0009764100846222074,148,4,0,4,1.247580508385013,270,0.014814814814814815
200,0.0001942276309751179,25,0.00028930669173991326,22,8,5,4,1.4892719593590344,45,0.08888888888888889
201,8.568866072431673e-05,2,7.423000643326723e-05,4,0,0,0,0.8664315983685529,5,0.0
202,0.00017899409129079494,20,7.232667293497833e-05,12,0,0,0,0.4044057088258663,29,0.0
203,0.0004836648849772544,59,0.0003654400316714694,53,0,0,0,0.7556150581054603,101,0.0
204,0.0001009222004086397,4,4.758333745722258e-05,2,0,0,0,0.47200850173863934,5,0.0
205,0.0002418324424886272,33,0.00016368668085284566,26,1,0,1,0.6769934580416802,55,0.01818181818181818
206,0.0003046707936864595,34,0.0002855000247433355,29,0,0,0,0.9370977490617214,56,0.0
207,0.00013329347223782603,7,9.707000841273407e-05,8,0,0,0,0.7284465032853371,13,0.0
208,0.00018280247621187568,21,0.00014465334586995663,21,0,0,0,0.7914236530197284,38,0.0
209,0.0004189223413188818,52,0.0004967700430534037,60,15,11,9,1.18578413143675,103,0.08737864077669903
210,0.0002894372540021365,32,0.00027979002424846877,43,1,0,1,0.9666805234203245,74,0.013513513513513514
211,0.0002894372540021365,25,0.00010658667590417857,13,0,0,0,0.36847305287833987,32,0.0
212,8.949704564539747e-05,3,9.707000841273406e-05,6,0,0,0,1.0845224606769788,8,0.0
213,7.807189088215524e-05,1,1.3323334488022323e-05,2,0,0,0,0.17171561716804457,3,0.0
214,0.00019994020835673902,20,0.0002226900192998017,19,9,3,8,1.1137261909990221,36,0.2222222222222222
215,9.330543056647821e-05,2,4.758333745722258e-05,3,0,0,0,0.5104985563262893,4,0.0
216,8.188027580323598e-05,2,6.852000593840052e-05,2,0,0,0,0.8370306792221343,3,0.0
217,0.0001351976646983664,11,8.565000742300064e-05,6,5,4,1,0.6337877864645508,16,0.0625
218,0.00024373663494916758,5,0.0003711500321663361,6,0,0,0,1.5225359070581428,7,0.0
219,9.711381548755895e-05,5,9.897334191102296e-05,8,0,0,0,1.0191282115009876,12,0.0
220,0.00011425154763242231,9,7.803667342984503e-05,6,0,0,0,0.6833022818459066,14,0.0
221,0.00041320976393726067,63,0.0003597300311766027,46,0,0,0,0.8706061713829338,101,0.0
222,0.00015995216668539123,17,0.00011039334290075639,13,0,0,0,0.6903583074757692,27,0.0
223,0.00023802405756754647,32,0.0002303033532929573,34,9,5,5,0.9675769665885223,63,0.07936507936507936
224,0.0004589103829902296,68,0.0003673433651697583,68,6,2,5,0.8005120990423863,132,0.03787878787878788
225,0.0001751857063697142,13,9.897334191102296e-05,7,0,0,0,0.5652106150746632,15,0.0
226,0.00035608399012104953,35,0.00034640669668858036,41,0,0,0,0.9728306333218955,62,0.0
227,0.00038083849210807433,55,0.0002816933577467577,53,1,0,1,0.739734533486869,104,0.009615384615384616
228,0.00023992825002808684,35,0.00013133001138193433,28,0,0,0,0.5475605949156196,59,0.0
229,0.00015804797422485086,20,0.00012752334438535651,23,0,0,0,0.8069869058449324,41,0.0
230,0.0003713175298053725,39,0.00038066669965778065,36,0,0,0,1.025171590197445,63,0.0
231,0.0005655451607804905,83,0.0003673433651697583,56,1,1,1,0.6496004750800862,128,0.0078125
232,9.711381548755897e-05,6,7.042333943668942e-05,3,0,0,0,0.7254456486764962,8,0.0
233,7.42635059610745e-05,1,5.9003338446956e-05,3,0,0,0,0.7947895635514224,3,0.0
234,0.00014662281946160863,4,0.00011420000989733418,4,0,0,0,0.7790199937320713,4,0.0
235,0.0005160361568064408,78,0.0005367400465174707,91,9,3,7,1.0401132325995799,154,0.045454545454545456
236,0.0006817009008734531,121,0.0011610334339562309,150,13,7,8,1.703038867312593,249,0.0321285140562249
237,8.188027580323598e-05,3,7.232667293497833e-05,5,0,0,0,0.8834646166452571,7,0.0
238,0.00019994020835673905,16,8.184334042642283e-05,15,0,0,0,0.40963434851202646,30,0.0
239,9.140123810593784e-05,5,5.9003338446956e-05,6,1,1,0,0.6459293848956189,9,0.0
240,0.00011805993255350305,7,8.945667441957844e-05,12,0,0,0,0.757927602734768,18,0.0
241,9.901800794809934e-05,5,7.994000692813393e-05,4,0,0,0,0.8075223522454655,7,0.0
242,0.000496994232201037,81,0.000551966714503782,86,7,4,3,1.1105876486623822,153,0.0196078431372549
243,0.00022850309526484461,15,0.0004187333696235587,31,0,0,0,1.832142163859705,44,0.0
244,0.0007502518294529065,125,0.0008184334042642284,119,0,0,0,1.0908661405690636,233,0.0
245,8.188027580323598e-05,3,3.8066669965778064e-05,2,0,0,0,0.465559179837152,4,0.0
