cluster,day0_usage,day0_found,day15_usage,day15_found,vdjdb_yfv,vdjdb_yfv_day0,vdjdb_yfv_day15,delta,cluster_size,yfv_15_frac_in_cluster
0,0.006226709345967015,2,0.005196100450328706,3,0,0,0,0.8344884453053288,4,0.0
1,0.0010549226231393659,25,0.0014389201247064108,38,13,6,10,1.363970869576623,55,0.18181818181818182
2,0.0013919646886550118,56,0.0009954434196050963,52,7,4,4,0.7151560036818208,89,0.0449438202247191
3,0.0007502518294529065,6,0.0005272233790260261,3,0,0,0,0.7027681659822247,6,0.0
4,0.0012282041370485397,83,0.0012752334438535652,77,21,15,11,1.0382879983763882,148,0.07432432432432433
5,0.0017042522521836328,181,0.0012409734408843649,145,0,0,0,0.7281789543765319,304,0.0
6,0.0008797369167696517,42,0.0056091238194573975,48,0,0,0,6.375299458963186,82,0.0
7,0.0010225513513101795,67,0.0007879800682916059,66,0,0,0,0.7706243846272236,124,0.0
8,0.0005541200060172482,9,0.0005919367179678488,17,0,0,0,1.0682341155859028,25,0.0
9,0.0006131499722939997,23,0.0006642633909028273,21,0,0,0,1.0833484238370632,38,0.0
10,0.0004912816548194159,2,0.0003159533607159579,3,0,0,0,0.6431932442250178,3,0.0
11,0.0010149345814680182,61,0.0008774367427111843,81,4,2,3,0.8645387642281366,123,0.024390243902439025
12,0.0005236529266486022,10,0.0004282500371150032,9,0,0,0,0.8178475294752731,15,0.0
13,0.0005655451607804905,17,0.0004834467085653814,12,0,0,0,0.8548587384680748,24,0.0
14,0.0015766713573274278,172,0.0014427267917029886,155,0,0,0,0.9150513706365959,292,0.0
15,0.000445581035766447,6,0.00037876336615949173,6,0,0,0,0.8500773776652903,8,0.0
16,0.0008625991846247885,13,0.0006071633859541601,15,0,0,0,0.703910930689329,22,0.0
17,0.002778216799928402,393,0.0028378702459487546,407,2,1,1,1.021471074148884,737,0.0013568521031207597
18,0.00035608399012104953,2,0.0002855000247433355,2,0,0,0,0.8018328523027495,3,0.0
19,0.0022755099903457444,269,0.0022516435284757725,228,35,22,23,0.9895120596362184,433,0.053117782909930716
20,0.00034085045043672656,4,0.0001713000148460013,2,0,0,0,0.5027123871707851,4,0.0
21,0.00030847917860754023,3,0.00029882335923135775,2,0,0,0,0.968708778668236,3,0.0
22,0.0003237127182918632,8,0.0007061367278651831,16,3,0,3,2.1810036727112996,23,0.13043478260869565
23,0.0002894372540021365,5,0.00027788669075017985,12,0,0,0,0.9601068149528301,16,0.0
24,0.0002589701746334906,2,0.00014084667887337884,2,0,0,0,0.544048264424022,3,0.0
25,0.0015347791231955395,135,0.0011343867649801862,128,0,0,0,0.7391375306599017,237,0.0
26,0.0002837246766205154,3,0.0003768600326612028,3,0,0,0,1.3281439695436104,3,0.0
27,0.0003046707936864595,5,0.00020936668481177933,4,0,0,0,0.6872925134265765,5,0.0
28,0.0005350780814118444,54,0.0006414233889233604,62,1,0,1,1.1987101325804828,108,0.009259259259259259
29,0.00044938942068752774,39,0.00024362668778097962,32,0,0,0,0.5422300872135798,65,0.0
30,0.0002570659821729502,5,0.0001713000148460013,4,0,0,0,0.6664956748856882,8,0.0
31,0.00024564082740970795,3,0.0002702733567570242,2,0,0,0,1.1002378384046376,4,0.0
32,0.0002494492123307887,4,0.00015988001385626788,1,0,0,0,0.6410760120701451,4,0.0
33,0.00023992825002808684,3,0.00029692002573306883,2,0,0,0,1.2374377836705184,3,0.0
34,0.0003103833710680806,17,0.00013133001138193433,13,0,0,0,0.42330773119928305,27,0.0
35,0.0002361198651070061,4,0.00015417001336140117,2,0,0,0,0.6530780689910133,4,0.0
36,0.0009006830338355959,109,0.0009764100846222074,129,0,0,0,1.0840680251982107,221,0.0
37,0.00019613182343565828,1,0.0001884300163306014,4,0,0,0,0.9607514878564934,4,0.0
38,0.00027991629169943463,19,0.0001846233493340236,12,0,0,0,0.6596878639200855,27,0.0
39,0.0002208863254226831,6,0.00019414001682546814,11,0,0,0,0.8789684902626577,15,0.0
40,0.0001885150535934968,2,0.00016178334735455677,4,0,0,0,0.8582737393985943,6,0.0
41,0.0008283237203350617,108,0.0006281000544353381,94,3,0,3,0.7583076619067091,181,0.016574585635359115
42,0.0003313294881340247,9,0.00024553002127926854,13,3,1,3,0.7411230143165166,15,0.2
43,0.0007312099048475027,93,0.0008945667441957845,96,32,15,21,1.2233756691458266,163,0.12883435582822086
