cluster,day0_usage,day0_found,day15_usage,day15_found,vdjdb_yfv,vdjdb_yfv_day0,vdjdb_yfv_day15,delta,cluster_size,yfv_15_frac_in_cluster
0,0.006226709345967015,2,0.005196100450328706,3,0,0,0,0.8344884453053288,4,0.0
1,0.0024297495796495143,22,0.0018538468273333916,19,0,0,0,0.7629883112356314,36,0.0
2,0.0012415334842723223,27,0.0009326334141615626,17,0,0,0,0.7512147714896757,40,0.0
3,0.0010511142382182853,10,0.00072897672984465,5,0,0,0,0.6935567492696543,14,0.0
4,0.0010054136191653164,12,0.0004853500420636703,15,0,0,0,0.48278813216537597,25,0.0
5,0.0012015454426009746,35,0.0015588301350986117,47,23,11,16,1.2973295448317022,71,0.22535211267605634
6,0.000866407569545869,11,0.0006871033928822941,9,0,0,0,0.7930725789763763,18,0.0
7,0.0008435572600193847,9,0.0005729033829849599,15,0,0,0,0.6791897730741913,22,0.0
8,0.0017042522521836328,82,0.0012523934418740982,76,9,4,6,0.7348794477605151,133,0.045112781954887216
9,0.0007521560219134469,3,0.0005405467135140486,2,0,0,0,0.7187004128446237,4,0.0
10,0.0007711979465188505,7,0.0005500633810054929,4,0,0,0,0.7132955344800038,7,0.0
11,0.0013767311489706888,109,0.0013646901182731434,94,23,17,11,0.9912545334941418,186,0.05913978494623656
12,0.0019898811212646886,214,0.0014884067956619223,174,0,0,0,0.7480004607862485,361,0.0
13,0.0009387668830464032,52,0.005683353825890664,60,0,0,0,6.053524656710851,102,0.0
14,0.0011653657858507074,92,0.0008793400762094732,80,0,0,0,0.7545824912977125,159,0.0
15,0.0008111859881901984,34,0.000531030046022604,32,0,0,0,0.6546767154298313,60,0.0
16,0.0006055332024518383,5,0.00041873336962355867,5,0,0,0,0.691562760971424,7,0.0
17,0.0005731619306226518,2,0.00031785669421424684,5,0,0,0,0.5546447046795805,6,0.0
18,0.0005883954703069749,15,0.0006300033879336269,25,0,0,0,1.0707021884211754,38,0.0
19,0.0006417128592021052,28,0.0007137500618583387,31,0,0,0,1.112240198405793,52,0.0
20,0.0005027068095826581,4,0.00033308336220055803,7,0,0,0,0.6626468771914772,9,0.0
21,0.0010301681211523411,64,0.0009078900786838068,88,4,2,3,0.8813143491892499,133,0.022556390977443608
22,0.0005388864663329252,12,0.00045680003958933674,11,0,0,0,0.8477022488114114,18,0.0
23,0.0008873536866118132,67,0.0006071633859541601,62,0,0,0,0.6842761432121776,117,0.0
24,0.0006226709345967015,28,0.0004910600425585371,14,0,0,0,0.7886688592437379,37,0.0
25,0.002088899129212788,236,0.0017548734854223689,198,0,0,0,0.8401025452239934,393,0.0
26,0.000445581035766447,6,0.0003939900341458029,9,0,0,0,0.8842423224674077,11,0.0
27,0.0009082998036777574,22,0.0006338100549302048,20,0,0,0,0.6978315631110328,35,0.0
28,0.0033799416174591598,505,0.0034488402988994927,531,2,1,1,1.0203839742932295,956,0.0010460251046025104
29,0.0021231745935025143,300,0.002185026856035661,342,0,0,0,1.029130599839711,592,0.0
30,0.0005065151945037389,32,0.0003673433651697583,18,0,0,0,0.7252908502471822,47,0.0
31,0.0003713175298053725,5,0.0001237166773887787,3,0,0,0,0.3333625029859528,6,0.0
32,0.00036560495242375136,6,0.0010125734210896967,10,0,0,0,2.7690995551963073,15,0.0
33,0.0026601568673748992,329,0.0025428535537139747,272,39,26,25,0.9559052679838854,528,0.04734848484848485
34,0.00034085045043672656,4,0.0001713000148460013,2,0,0,0,0.5027123871707851,4,0.0
35,0.00030847917860754023,3,0.00029882335923135775,2,0,0,0,0.968708778668236,3,0.0
36,0.0003313294881340247,10,0.0007061367278651831,16,3,0,3,2.130880785054323,25,0.12
37,0.0002894372540021365,5,0.00027788669075017985,12,0,0,0,0.9601068149528301,16,0.0
38,0.0008016650258874965,92,0.0007061367278651831,90,0,0,0,0.8808525004984217,167,0.0
39,0.0002589701746334906,2,0.00014084667887337884,2,0,0,0,0.544048264424022,3,0.0
40,0.0004379642659242855,33,0.0003159533607159579,26,0,0,0,0.7214771559809998,50,0.0
41,0.0021231745935025143,235,0.0018062634898761692,223,0,0,0,0.8507441738359548,424,0.0
42,0.0002837246766205154,3,0.0003768600326612028,3,0,0,0,1.3281439695436104,3,0.0
43,0.00032752110321294394,7,0.00021698001880493496,6,1,1,1,0.6625947372622069,7,0.14285714285714285
44,0.0005388864663329252,55,0.0006509400564148049,64,1,0,1,1.2078968528546794,111,0.009009009009009009
45,0.000578874508004273,63,0.00038447336665435844,63,0,0,0,0.6642319503495656,118,0.0
46,0.0002570659821729502,5,0.0001713000148460013,4,0,0,0,0.6664956748856882,8,0.0
47,0.00024564082740970795,3,0.000274080023753602,3,0,0,0,1.1157284145400845,5,0.0
48,0.0002570659821729502,6,0.0001751066818425791,4,0,0,0,0.681298048684948,9,0.0
49,0.00023992825002808684,3,0.00029692002573306883,2,0,0,0,1.2374377836705184,3,0.0
50,0.00022850309526484461,2,0.00013323334488022322,4,0,0,0,0.5832525789983374,5,0.0
