cluster,day0_usage,day0_found,day15_usage,day15_found,vdjdb_yfv,vdjdb_yfv_day0,vdjdb_yfv_day15,delta,cluster_size,yfv_15_frac_in_cluster
0,0.0007959524485058754,4,0.0007346867303395165,4,3,3,2,0.9230380884056704,5,0.4
1,0.0004912816548194159,4,0.0003863767001526473,2,0,0,0,0.7865102336689361,4,0.0
2,0.00047985650005617363,4,0.00020746335131349044,2,0,0,0,0.4324628404640784,4,0.0
3,0.0002227905178832235,3,0.00032927669520398025,12,0,0,0,1.4777510426735463,13,0.0
4,0.00018280247621187568,1,0.00015226667986311225,2,0,0,0,0.8330487537337082,3,0.0
5,0.00022469471034376385,8,0.00011229667639904528,8,0,0,0,0.49999698047682883,14,0.0
6,0.0002589701746334906,3,0.0001713000148460013,2,0,0,0,0.6615968630448594,3,0.0
7,0.00015233539684322974,2,8.374667392471174e-05,2,0,0,0,0.5500472702606127,3,0.0
8,0.0002951498313837576,6,0.00019794668382204595,6,0,0,0,0.6707766195626724,8,0.0
9,0.00017137732144863345,3,0.0001941400168254681,3,0,0,0,1.1327446404255463,3,0.0
10,0.00011615574009296268,1,4.377667046064477e-05,3,0,0,0,0.37741508871354873,3,0.0
11,0.00012758089485620492,4,6.281000544353381e-05,2,0,0,0,0.49271275482822613,5,0.0
12,0.00014662281946160863,2,7.232667293497833e-05,4,0,0,0,0.4936292336852853,4,0.0
13,0.00013900604961944712,4,9.897334191102296e-05,2,0,0,0,0.7122144736484016,5,0.0
14,0.00011044316271134155,3,0.00013704001187680103,1,0,0,0,1.2406014855474248,3,0.0
15,0.00010282639286918007,2,6.47133389418227e-05,3,0,0,0,0.6297057259570027,3,0.0
16,0.00010663477779026081,2,0.00013323334488022322,2,0,0,0,1.2492024402976687,3,0.0
17,0.0001009222004086397,2,9.516667491444516e-05,3,0,0,0,0.9430271220492807,3,0.0
18,9.901800794809932e-05,2,0.00013133001138193433,1,0,0,0,1.3259952868580085,3,0.0
19,0.0002570659821729502,23,0.0001808166823374458,20,0,0,0,0.7035016093838379,36,0.0
20,0.00021326955558052162,5,0.00014084667887337884,6,0,0,0,0.6605753969440511,8,0.0
21,8.568866072431673e-05,2,9.136000791786736e-05,4,0,0,0,1.0661083544802687,4,0.0
22,8.378446826377636e-05,3,9.326334141615626e-05,5,0,0,0,1.1129991445206924,6,0.0
23,0.00010473058532972044,4,3.997000346406697e-05,1,0,0,0,0.38223580778487515,4,0.0
24,9.330543056647823e-05,4,7.232667293497831e-05,6,0,0,0,0.775401092802961,7,0.0
25,7.235931350053413e-05,1,0.00025504668877071303,6,0,0,0,3.521240768708528,6,0.0
26,6.474254365837264e-05,2,6.0906671945244904e-05,4,0,0,0,0.9408432874975218,5,0.0
27,7.42635059610745e-05,2,7.613333993155613e-06,2,0,0,0,0.1037247221398242,4,0.0
28,6.283835119783227e-05,2,3.426000296920026e-05,2,0,0,0,0.5459310947183454,3,0.0
29,7.045512103999376e-05,3,7.803667342984503e-05,1,0,0,0,1.107455735006871,3,0.0
30,7.616769842161487e-05,4,4.3776670460644776e-05,1,3,3,1,0.5752982110210078,4,0.25
31,5.522158135567078e-05,1,3.426000296920026e-05,4,0,0,0,0.6210958206038005,4,0.0
32,9.711381548755895e-05,4,4.948667095551148e-05,3,0,0,0,0.5100784359385359,4,0.0
33,5.712577381621115e-05,2,3.8066669965778064e-05,3,0,0,0,0.6669489536018481,4,0.0
34,8.75928531848571e-05,3,0.00014655667936824555,3,0,0,0,1.672390326485242,3,0.0
35,5.3317388895130405e-05,2,4.758333745722258e-05,2,0,0,0,0.8926557146182309,3,0.0
36,5.5221581355670776e-05,2,3.235666947091136e-05,2,0,0,0,0.5866909201716876,3,0.0
37,5.3317388895130405e-05,2,3.997000346406696e-05,2,0,0,0,0.7501303282107785,3,0.0
